RxCUI,TTY,Name,Branded Name,Dose Form,USP Category,USP Class,USP Pharmacotherapeutic Group
993781,SCD,ACETAMINOPHEN 300 MG / CODEINE PHOSPHATE 30 MG ORAL TABLET,,ORAL TABLET,Analgesics,Analgesic Combination,
993837,SBD,ACETAMINOPHEN 300 MG / CODEINE PHOSPHATE 30 MG ORAL TABLET [TYLENOL WITH CODEINE],TYLENOL WITH CODEINE,ORAL TABLET,Analgesics,Analgesic Combination,
993890,SCD,ACETAMINOPHEN 300 MG / CODEINE PHOSPHATE 60 MG ORAL TABLET,,ORAL TABLET,Analgesics,Analgesic Combination,
993892,SBD,ACETAMINOPHEN 300 MG / CODEINE PHOSPHATE 60 MG ORAL TABLET [TYLENOL WITH CODEINE],TYLENOL WITH CODEINE,ORAL TABLET,Analgesics,Analgesic Combination,
856980,SCD,ACETAMINOPHEN 300 MG / HYDROCODONE BITARTRATE 10 MG ORAL TABLET,,ORAL TABLET,Analgesics,Analgesic Combination,
1310270,SBD,ACETAMINOPHEN 300 MG / HYDROCODONE BITARTRATE 10 MG ORAL TABLET [VICODIN],VICODIN,ORAL TABLET,Analgesics,Analgesic Combination,
856984,SBD,ACETAMINOPHEN 300 MG / HYDROCODONE BITARTRATE 10 MG ORAL TABLET [XODOL],XODOL,ORAL TABLET,Analgesics,Analgesic Combination,
856987,SCD,ACETAMINOPHEN 300 MG / HYDROCODONE BITARTRATE 5 MG ORAL TABLET,,ORAL TABLET,Analgesics,Analgesic Combination,
1310202,SBD,ACETAMINOPHEN 300 MG / HYDROCODONE BITARTRATE 5 MG ORAL TABLET [VICODIN],VICODIN,ORAL TABLET,Analgesics,Analgesic Combination,
856991,SBD,ACETAMINOPHEN 300 MG / HYDROCODONE BITARTRATE 5 MG ORAL TABLET [XODOL],XODOL,ORAL TABLET,Analgesics,Analgesic Combination,
856992,SCD,ACETAMINOPHEN 300 MG / HYDROCODONE BITARTRATE 7.5 MG ORAL TABLET,,ORAL TABLET,Analgesics,Analgesic Combination,
1310212,SBD,ACETAMINOPHEN 300 MG / HYDROCODONE BITARTRATE 7.5 MG ORAL TABLET [VICODIN],VICODIN,ORAL TABLET,Analgesics,Analgesic Combination,
856996,SBD,ACETAMINOPHEN 300 MG / HYDROCODONE BITARTRATE 7.5 MG ORAL TABLET [XODOL],XODOL,ORAL TABLET,Analgesics,Analgesic Combination,
856999,SCD,ACETAMINOPHEN 325 MG / HYDROCODONE BITARTRATE 10 MG ORAL TABLET,,ORAL TABLET,Analgesics,Analgesic Combination,
1492671,SBD,ACETAMINOPHEN 325 MG / HYDROCODONE BITARTRATE 10 MG ORAL TABLET [LORCET],LORCET,ORAL TABLET,Analgesics,Analgesic Combination,
1495472,SBD,ACETAMINOPHEN 325 MG / HYDROCODONE BITARTRATE 10 MG ORAL TABLET [LORTAB],LORTAB,ORAL TABLET,Analgesics,Analgesic Combination,
857001,SBD,ACETAMINOPHEN 325 MG / HYDROCODONE BITARTRATE 10 MG ORAL TABLET [NORCO],NORCO,ORAL TABLET,Analgesics,Analgesic Combination,
1147395,SBD,ACETAMINOPHEN 325 MG / HYDROCODONE BITARTRATE 10 MG ORAL TABLET [XODOL],XODOL,ORAL TABLET,Analgesics,Analgesic Combination,
857391,SCD,ACETAMINOPHEN 325 MG / HYDROCODONE BITARTRATE 2.5 MG ORAL TABLET,,ORAL TABLET,Analgesics,Analgesic Combination,
1542981,SBD,ACETAMINOPHEN 325 MG / HYDROCODONE BITARTRATE 2.5 MG ORAL TABLET [VERDROCET],VERDROCET,ORAL TABLET,Analgesics,Analgesic Combination,
857002,SCD,ACETAMINOPHEN 325 MG / HYDROCODONE BITARTRATE 5 MG ORAL TABLET,,ORAL TABLET,Analgesics,Analgesic Combination,
1492673,SBD,ACETAMINOPHEN 325 MG / HYDROCODONE BITARTRATE 5 MG ORAL TABLET [LORCET],LORCET,ORAL TABLET,Analgesics,Analgesic Combination,
1495474,SBD,ACETAMINOPHEN 325 MG / HYDROCODONE BITARTRATE 5 MG ORAL TABLET [LORTAB],LORTAB,ORAL TABLET,Analgesics,Analgesic Combination,
857004,SBD,ACETAMINOPHEN 325 MG / HYDROCODONE BITARTRATE 5 MG ORAL TABLET [NORCO],NORCO,ORAL TABLET,Analgesics,Analgesic Combination,
857005,SCD,ACETAMINOPHEN 325 MG / HYDROCODONE BITARTRATE 7.5 MG ORAL TABLET,,ORAL TABLET,Analgesics,Analgesic Combination,
1492675,SBD,ACETAMINOPHEN 325 MG / HYDROCODONE BITARTRATE 7.5 MG ORAL TABLET [LORCET],LORCET,ORAL TABLET,Analgesics,Analgesic Combination,
1495476,SBD,ACETAMINOPHEN 325 MG / HYDROCODONE BITARTRATE 7.5 MG ORAL TABLET [LORTAB],LORTAB,ORAL TABLET,Analgesics,Analgesic Combination,
857007,SBD,ACETAMINOPHEN 325 MG / HYDROCODONE BITARTRATE 7.5 MG ORAL TABLET [NORCO],NORCO,ORAL TABLET,Analgesics,Analgesic Combination,
836395,SCD,ACETAMINOPHEN 325 MG / TRAMADOL HYDROCHLORIDE 37.5 MG ORAL TABLET,,ORAL TABLET,Analgesics,Analgesic Combination,
836397,SBD,ACETAMINOPHEN 325 MG / TRAMADOL HYDROCHLORIDE 37.5 MG ORAL TABLET [ULTRACET],ULTRACET,ORAL TABLET,Analgesics,Analgesic Combination,
857099,SCD,ACETAMINOPHEN 33.3 MG/ML / HYDROCODONE BITARTRATE 0.5 MG/ML ORAL SOLUTION,,ORAL SOLUTION,Analgesics,Analgesic Combination,
857131,SCD,ACETAMINOPHEN 400 MG / HYDROCODONE BITARTRATE 5 MG ORAL TABLET,,ORAL TABLET,Analgesics,Analgesic Combination,
856908,SCD,ACETAMINOPHEN 660 MG / HYDROCODONE BITARTRATE 10 MG ORAL TABLET,,ORAL TABLET,Analgesics,Analgesic Combination,
848768,SCD,ASPIRIN 325 MG / OXYCODONE HYDROCHLORIDE 4.84 MG ORAL TABLET,,ORAL TABLET,Analgesics,Analgesic Combination,
848928,SBD,ASPIRIN 325 MG / OXYCODONE HYDROCHLORIDE 4.84 MG ORAL TABLET [ENDODAN REFORMULATED MAY 2009],ENDODAN REFORMULATED MAY 2009,ORAL TABLET,Analgesics,Analgesic Combination,
848772,SBD,ASPIRIN 325 MG / OXYCODONE HYDROCHLORIDE 4.84 MG ORAL TABLET [PERCODAN REFORMULATED MAY 2009],PERCODAN REFORMULATED MAY 2009,ORAL TABLET,Analgesics,Analgesic Combination,
1049691,SCD,ASPIRIN 325 MG / OXYCODONE HYDROCHLORIDE 5 MG ORAL TABLET,,ORAL TABLET,Analgesics,Analgesic Combination,
859315,SCD,HYDROCODONE BITARTRATE 10 MG / IBUPROFEN 200 MG ORAL TABLET,,ORAL TABLET,Analgesics,Analgesic Combination,
859317,SBD,HYDROCODONE BITARTRATE 10 MG / IBUPROFEN 200 MG ORAL TABLET [IBUDONE],IBUDONE,ORAL TABLET,Analgesics,Analgesic Combination,
859331,SBD,HYDROCODONE BITARTRATE 10 MG / IBUPROFEN 200 MG ORAL TABLET [REPREXAIN],REPREXAIN,ORAL TABLET,Analgesics,Analgesic Combination,
1542988,SBD,HYDROCODONE BITARTRATE 10 MG / IBUPROFEN 200 MG ORAL TABLET [XYLON],XYLON,ORAL TABLET,Analgesics,Analgesic Combination,
858770,SCD,HYDROCODONE BITARTRATE 2.5 MG / IBUPROFEN 200 MG ORAL TABLET,,ORAL TABLET,Analgesics,Analgesic Combination,
858772,SBD,HYDROCODONE BITARTRATE 2.5 MG / IBUPROFEN 200 MG ORAL TABLET [REPREXAIN],REPREXAIN,ORAL TABLET,Analgesics,Analgesic Combination,
858778,SCD,HYDROCODONE BITARTRATE 5 MG / IBUPROFEN 200 MG ORAL TABLET,,ORAL TABLET,Analgesics,Analgesic Combination,
858780,SBD,HYDROCODONE BITARTRATE 5 MG / IBUPROFEN 200 MG ORAL TABLET [IBUDONE],IBUDONE,ORAL TABLET,Analgesics,Analgesic Combination,
858784,SBD,HYDROCODONE BITARTRATE 5 MG / IBUPROFEN 200 MG ORAL TABLET [REPREXAIN],REPREXAIN,ORAL TABLET,Analgesics,Analgesic Combination,
858798,SCD,HYDROCODONE BITARTRATE 7.5 MG / IBUPROFEN 200 MG ORAL TABLET,,ORAL TABLET,Analgesics,Analgesic Combination,
858838,SBD,HYDROCODONE BITARTRATE 7.5 MG / IBUPROFEN 200 MG ORAL TABLET [VICOPROFEN],VICOPROFEN,ORAL TABLET,Analgesics,Analgesic Combination,
1607582,SBD,1 ML DICLOFENAC SODIUM 37.5 MG/ML INJECTION [DYLOJECT],DYLOJECT,INJECTION,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
1665675,SCD,1 ML KETOROLAC TROMETHAMINE 15 MG/ML CARTRIDGE,,CARTRIDGE,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
860092,SCD,1 ML KETOROLAC TROMETHAMINE 15 MG/ML INJECTION,,INJECTION,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
860113,SCD,1 ML KETOROLAC TROMETHAMINE 15 MG/ML PREFILLED SYRINGE,,PREFILLED SYRINGE,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
1665679,SCD,1 ML KETOROLAC TROMETHAMINE 30 MG/ML CARTRIDGE,,CARTRIDGE,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
1665461,SCD,1 ML KETOROLAC TROMETHAMINE 30 MG/ML INJECTION,,INJECTION,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
860114,SCD,1 ML KETOROLAC TROMETHAMINE 30 MG/ML PREFILLED SYRINGE,,PREFILLED SYRINGE,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
1747294,SCD,2 ML IBUPROFEN 10 MG/ML INJECTION,,INJECTION,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
637197,SBD,2 ML IBUPROFEN 10 MG/ML INJECTION [NEOPROFEN],NEOPROFEN,INJECTION,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
1665682,SCD,2 ML KETOROLAC TROMETHAMINE 30 MG/ML CARTRIDGE,,CARTRIDGE,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
1665459,SCD,2 ML KETOROLAC TROMETHAMINE 30 MG/ML INJECTION,,INJECTION,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
860115,SCD,2 ML KETOROLAC TROMETHAMINE 30 MG/ML PREFILLED SYRINGE,,PREFILLED SYRINGE,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
855657,SCD,24 HR DICLOFENAC SODIUM 100 MG EXTENDED RELEASE ORAL TABLET,,EXTENDED RELEASE ORAL TABLET,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
855659,SBD,24 HR DICLOFENAC SODIUM 100 MG EXTENDED RELEASE ORAL TABLET [VOLTAREN],VOLTAREN,EXTENDED RELEASE ORAL TABLET,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
310245,SCD,24 HR ETODOLAC 400 MG EXTENDED RELEASE ORAL TABLET,,EXTENDED RELEASE ORAL TABLET,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
359500,SCD,24 HR ETODOLAC 500 MG EXTENDED RELEASE ORAL TABLET,,EXTENDED RELEASE ORAL TABLET,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
310247,SCD,24 HR ETODOLAC 600 MG EXTENDED RELEASE ORAL TABLET,,EXTENDED RELEASE ORAL TABLET,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
359697,SCD,24 HR KETOPROFEN 200 MG EXTENDED RELEASE ORAL CAPSULE,,EXTENDED RELEASE ORAL CAPSULE,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
433845,SCD,24 HR NAPROXEN 1000 MG EXTENDED RELEASE ORAL TABLET,,EXTENDED RELEASE ORAL TABLET,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
1116320,SCD,24 HR NAPROXEN 375 MG EXTENDED RELEASE ORAL TABLET,,EXTENDED RELEASE ORAL TABLET,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
1116331,SBD,24 HR NAPROXEN 375 MG EXTENDED RELEASE ORAL TABLET [NAPRELAN],NAPRELAN,EXTENDED RELEASE ORAL TABLET,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
1116339,SCD,24 HR NAPROXEN 500 MG EXTENDED RELEASE ORAL TABLET,,EXTENDED RELEASE ORAL TABLET,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
1116341,SBD,24 HR NAPROXEN 500 MG EXTENDED RELEASE ORAL TABLET [NAPRELAN],NAPRELAN,EXTENDED RELEASE ORAL TABLET,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
1116349,SCD,24 HR NAPROXEN 750 MG EXTENDED RELEASE ORAL TABLET,,EXTENDED RELEASE ORAL TABLET,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
1116351,SBD,24 HR NAPROXEN 750 MG EXTENDED RELEASE ORAL TABLET [NAPRELAN],NAPRELAN,EXTENDED RELEASE ORAL TABLET,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
854187,SBD,8 ML IBUPROFEN 100 MG/ML INJECTION [CALDOLOR],CALDOLOR,INJECTION,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
205322,SCD,CELECOXIB 100 MG ORAL CAPSULE,,ORAL CAPSULE,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
213468,SBD,CELECOXIB 100 MG ORAL CAPSULE [CELEBREX],CELEBREX,ORAL CAPSULE,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
205323,SCD,CELECOXIB 200 MG ORAL CAPSULE,,ORAL CAPSULE,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
213469,SBD,CELECOXIB 200 MG ORAL CAPSULE [CELEBREX],CELEBREX,ORAL CAPSULE,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
349514,SCD,CELECOXIB 400 MG ORAL CAPSULE,,ORAL CAPSULE,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
352314,SBD,CELECOXIB 400 MG ORAL CAPSULE [CELEBREX],CELEBREX,ORAL CAPSULE,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
686379,SCD,CELECOXIB 50 MG ORAL CAPSULE,,ORAL CAPSULE,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
686381,SBD,CELECOXIB 50 MG ORAL CAPSULE [CELEBREX],CELEBREX,ORAL CAPSULE,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
1442122,SBD,DICLOFENAC 18 MG ORAL CAPSULE [ZORVOLEX],ZORVOLEX,ORAL CAPSULE,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
1442130,SBD,DICLOFENAC 35 MG ORAL CAPSULE [ZORVOLEX],ZORVOLEX,ORAL CAPSULE,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
855626,SCD,DICLOFENAC EPOLAMINE 0.013 MG/MG MEDICATED PATCH,,MEDICATED PATCH,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
855628,SBD,DICLOFENAC EPOLAMINE 0.013 MG/MG MEDICATED PATCH [FLECTOR],FLECTOR,MEDICATED PATCH,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
858346,SBD,DICLOFENAC POTASSIUM 25 MG ORAL CAPSULE [ZIPSOR],ZIPSOR,ORAL CAPSULE,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
857702,SCD,DICLOFENAC POTASSIUM 25 MG ORAL TABLET,,ORAL TABLET,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
855942,SCD,DICLOFENAC POTASSIUM 50 MG ORAL TABLET,,ORAL TABLET,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
855944,SBD,DICLOFENAC POTASSIUM 50 MG ORAL TABLET [CATAFLAM],CATAFLAM,ORAL TABLET,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
859063,SCD,DICLOFENAC POTASSIUM 50 MG POWDER FOR ORAL SOLUTION,,POWDER FOR ORAL SOLUTION,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
859066,SBD,DICLOFENAC POTASSIUM 50 MG POWDER FOR ORAL SOLUTION [CAMBIA],CAMBIA,POWDER FOR ORAL SOLUTION,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
855633,SCD,DICLOFENAC SODIUM 0.01 MG/MG TOPICAL GEL,,TOPICAL GEL,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
855635,SBD,DICLOFENAC SODIUM 0.01 MG/MG TOPICAL GEL [VOLTAREN],VOLTAREN,TOPICAL GEL,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
855642,SCD,DICLOFENAC SODIUM 0.03 MG/MG TOPICAL GEL,,TOPICAL GEL,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
855644,SBD,DICLOFENAC SODIUM 0.03 MG/MG TOPICAL GEL [SOLARAZE],SOLARAZE,TOPICAL GEL,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
1234493,SCD,DICLOFENAC SODIUM 100 MG ORAL CAPSULE,,ORAL CAPSULE,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
857696,SCD,DICLOFENAC SODIUM 100 MG RECTAL SUPPOSITORY,,RECTAL SUPPOSITORY,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
857700,SCD,DICLOFENAC SODIUM 15 MG/ML TOPICAL SOLUTION,,TOPICAL SOLUTION,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
967944,SBD,DICLOFENAC SODIUM 15 MG/ML TOPICAL SOLUTION [PENNSAID],PENNSAID,TOPICAL SOLUTION,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
855664,SCD,DICLOFENAC SODIUM 25 MG DELAYED RELEASE ORAL TABLET,,DELAYED RELEASE ORAL TABLET,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
857703,SCD,DICLOFENAC SODIUM 25 MG RECTAL SUPPOSITORY,,RECTAL SUPPOSITORY,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
855906,SCD,DICLOFENAC SODIUM 50 MG DELAYED RELEASE ORAL TABLET,,DELAYED RELEASE ORAL TABLET,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
857709,SCD,DICLOFENAC SODIUM 50 MG RECTAL SUPPOSITORY,,RECTAL SUPPOSITORY,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
855926,SCD,DICLOFENAC SODIUM 75 MG DELAYED RELEASE ORAL TABLET,,DELAYED RELEASE ORAL TABLET,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
855928,SBD,DICLOFENAC SODIUM 75 MG DELAYED RELEASE ORAL TABLET [VOLTAREN],VOLTAREN,DELAYED RELEASE ORAL TABLET,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
197603,SCD,DIFLUNISAL 500 MG ORAL TABLET,,ORAL TABLET,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
197684,SCD,ETODOLAC 200 MG ORAL CAPSULE,,ORAL CAPSULE,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
197685,SCD,ETODOLAC 300 MG ORAL CAPSULE,,ORAL CAPSULE,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
197686,SCD,ETODOLAC 400 MG ORAL TABLET,,ORAL TABLET,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
206812,SBD,ETODOLAC 400 MG ORAL TABLET [LODINE],LODINE,ORAL TABLET,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
199390,SCD,ETODOLAC 500 MG ORAL TABLET,,ORAL TABLET,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
197694,SCD,FENOPROFEN 200 MG ORAL CAPSULE,,ORAL CAPSULE,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
1799325,SBD,FENOPROFEN 200 MG ORAL CAPSULE [FENORTHO],FENORTHO,ORAL CAPSULE,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
260323,SBD,FENOPROFEN 200 MG ORAL CAPSULE [NALFON],NALFON,ORAL CAPSULE,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
858116,SCD,FENOPROFEN 400 MG ORAL CAPSULE,,ORAL CAPSULE,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
1799323,SBD,FENOPROFEN 400 MG ORAL CAPSULE [FENORTHO],FENORTHO,ORAL CAPSULE,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
858118,SBD,FENOPROFEN 400 MG ORAL CAPSULE [NALFON],NALFON,ORAL CAPSULE,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
310291,SCD,FENOPROFEN 600 MG ORAL TABLET,,ORAL TABLET,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
1945850,SBD,FENOPROFEN 600 MG ORAL TABLET [PROFENO],PROFENO,ORAL TABLET,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
197724,SCD,FLURBIPROFEN 100 MG ORAL TABLET,,ORAL TABLET,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
205626,SBD,FLURBIPROFEN 100 MG ORAL TABLET [ANSAID],ANSAID,ORAL TABLET,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
199749,SCD,FLURBIPROFEN 200 MG EXTENDED RELEASE ORAL CAPSULE,,EXTENDED RELEASE ORAL CAPSULE,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
197725,SCD,FLURBIPROFEN 50 MG ORAL TABLET,,ORAL TABLET,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
792242,SBD,IBUPROFEN 100 MG CHEWABLE TABLET [MOTRIN],MOTRIN,CHEWABLE TABLET,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
806013,SBD,IBUPROFEN 100 MG ORAL TABLET [MOTRIN],MOTRIN,ORAL TABLET,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
1429987,SBD,IBUPROFEN 20 MG/ML ORAL SUSPENSION [PEDIACARE CHILDREN'S PAIN & FEVER W/ IBUPROFEN],PEDIACARE CHILDREN'S PAIN & FEVER W/ IBUPROFEN,ORAL SUSPENSION,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
1190622,SBD,IBUPROFEN 200 MG ORAL CAPSULE [MIDOL CRAMPS & BODYACHES],MIDOL CRAMPS & BODYACHES,ORAL CAPSULE,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
644386,SBD,IBUPROFEN 200 MG ORAL CAPSULE [WAL-PROFEN],WAL-PROFEN,ORAL CAPSULE,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
206886,SBD,IBUPROFEN 200 MG ORAL TABLET [GENPRIL],GENPRIL,ORAL TABLET,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
850424,SBD,IBUPROFEN 200 MG ORAL TABLET [IBUPROHM],IBUPROHM,ORAL TABLET,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
643102,SBD,IBUPROFEN 200 MG ORAL TABLET [WAL-PROFEN],WAL-PROFEN,ORAL TABLET,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
206905,SBD,IBUPROFEN 400 MG ORAL TABLET [IBU],IBU,ORAL TABLET,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
314047,SCD,IBUPROFEN 50 MG CHEWABLE TABLET,,CHEWABLE TABLET,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
197806,SCD,IBUPROFEN 600 MG ORAL TABLET,,ORAL TABLET,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
206913,SBD,IBUPROFEN 600 MG ORAL TABLET [IBU],IBU,ORAL TABLET,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
197807,SCD,IBUPROFEN 800 MG ORAL TABLET,,ORAL TABLET,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
206917,SBD,IBUPROFEN 800 MG ORAL TABLET [IBU],IBU,ORAL TABLET,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
541713,SBD,IBUPROFEN 800 MG ORAL TABLET [SAMSON 8],SAMSON 8,ORAL TABLET,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
346508,SCD,INDOMETHACIN 1 MG INJECTION,,INJECTION,Analgesics,Nonsteroidal Anti-inflammatory Drugs,
